eps,sample_id,l2_norm,cpop,log_l2,log_cpop
0.0,40,0.0,0.1568549573421478,,-0.8045017510349782
0.0,41,0.0,0.0757310688495636,,-1.1207259136072945
0.0,42,0.0,0.126677319407463,,-0.8973011352185367
0.0,43,0.0,0.0358293652534484,,-1.4457608856481954
0.0,44,0.0,0.0408852100372314,,-1.3884337668301516
0.0,45,0.0,0.0749649703502655,,-1.1251416264408236
0.0,46,0.0,0.060532659292221,,-1.2180102464481226
0.0,47,0.0,0.1333816647529602,,-0.8749038664007032
0.0,48,0.0,0.1258110255002975,,-0.9002812976497294
0.0,49,0.0,0.0349366217851638,,-1.4567190916539663
0.05,0,0.049999985843896866,0.18668150901794434,-1.301030158996582,-0.7288987040519714
0.05,1,0.049999989569187164,0.06994076073169708,-1.3010300397872925,-1.1552696228027344
0.05,2,0.04999999701976776,0.28417378664016724,-1.3010300397872925,-0.5464159846305847
0.05,3,0.049999918788671494,0.029221653938293457,-1.3010307550430298,-1.5342952013015747
0.05,4,0.049997348338365555,0.11496972292661667,-1.3010530471801758,-0.9394165277481079
0.05,5,0.049998655915260315,0.15993183851242065,-1.3010417222976685,-0.796065092086792
0.05,6,0.0499996542930603,0.04330155998468399,-1.3010330200195312,-1.3634964227676392
0.05,7,0.049999821931123734,0.13389873504638672,-1.3010315895080566,-0.8732235431671143
0.05,8,0.04999957233667374,0.3188617527484894,-1.3010337352752686,-0.49639755487442017
0.05,9,0.04999949038028717,0.08471256494522095,-1.3010344505310059,-1.0720521211624146
0.05,10,0.04999999701976776,0.10285616666078568,-1.3010300397872925,-0.9877696633338928
0.05,11,0.050000011920928955,0.25928017497062683,-1.301029920578003,-0.5862307548522949
0.05,12,0.049997828900814056,0.2763938009738922,-1.3010488748550415,-0.5584716796875
0.05,13,0.049999989569187164,0.17744393646717072,-1.3010300397872925,-0.7509388327598572
0.05,14,0.0499972328543663,0.07469871640205383,-1.3010540008544922,-1.1266868114471436
0.05,15,0.04994732886552811,0.37573838233947754,-1.301487684249878,-0.4251144528388977
0.05,16,0.049997296184301376,0.40851718187332153,-1.301053524017334,-0.38878968358039856
0.05,17,0.04999997466802597,0.0210164412856102,-1.301030158996582,-1.677440881729126
0.05,18,0.049999985843896866,0.17333585023880005,-1.301030158996582,-0.7611116170883179
0.05,19,0.049983762204647064,0.076436847448349,-1.301171064376831,-1.1166971921920776
0.05,20,0.04998276010155678,0.09612108767032623,-1.3011797666549683,-1.0171812772750854
0.05,21,0.04999997466802597,0.05763630568981171,-1.301030158996582,-1.2393038272857666
0.05,22,0.04999877139925957,0.21067482233047485,-1.3010406494140625,-0.676387369632721
0.05,23,0.049999967217445374,0.26079607009887695,-1.3010302782058716,-0.5836989879608154
0.05,24,0.049999020993709564,0.11220020055770874,-1.3010385036468506,-0.950006365776062
0.05,25,0.049999870359897614,0.2960576117038727,-1.3010311126708984,-0.5286238193511963
0.05,26,0.04999937862157822,0.08086155354976654,-1.3010354042053223,-1.0922579765319824
0.05,27,0.05000002682209015,0.08544325083494186,-1.3010298013687134,-1.0683221817016602
0.05,28,0.04999997094273567,0.16548913717269897,-1.3010302782058716,-0.7812305092811584
0.05,29,0.05000000074505806,0.108736053109169,-1.3010300397872925,-0.9636264443397522
0.05,30,0.05000000447034836,0.10206574201583862,-1.301029920578003,-0.9911199808120728
0.05,31,0.04999968409538269,0.11816150695085526,-1.3010327816009521,-0.9275239706039429
0.05,32,0.04999982565641403,0.052268266677856445,-1.301031470298767,-1.281761884689331
0.05,33,0.04999976605176926,0.13851183652877808,-1.3010320663452148,-0.8585131168365479
0.05,34,0.04999998211860657,0.22814017534255981,-1.301030158996582,-0.6417982578277588
0.05,35,0.049999263137578964,0.12463624030351639,-1.3010363578796387,-0.9043556451797485
0.05,36,0.04999909549951553,0.02899204194545746,-1.3010377883911133,-1.5377211570739746
0.05,37,0.049999065697193146,0.24935440719127655,-1.301038146018982,-0.6031829714775085
0.05,38,0.04999972879886627,0.07193025946617126,-1.301032304763794,-1.1430883407592773
0.05,39,0.04999997094273567,0.2987437844276428,-1.3010302782058716,-0.5247011184692383
0.05,40,0.0499984547495842,0.10510659217834473,-1.3010433912277222,-0.9783700704574585
0.05,41,0.049999818205833435,0.0976252555847168,-1.3010315895080566,-1.0104378461837769
0.05,42,0.04999953880906105,0.18325185775756836,-1.3010339736938477,-0.7369515895843506
0.05,43,0.049999237060546875,0.05560353398323059,-1.3010365962982178,-1.2548975944519043
0.05,44,0.049999818205833435,0.09934548288583755,-1.3010315895080566,-1.0028518438339233
0.05,45,0.04999982565641403,0.22244848310947418,-1.301031470298767,-0.6527705788612366
0.05,46,0.05000000447034836,0.16835610568523407,-1.301029920578003,-0.7737711668014526
0.05,47,0.049999915063381195,0.14846675097942352,-1.3010307550430298,-0.8283708095550537
0.05,48,0.04999980330467224,0.10109011083841324,-1.3010317087173462,-0.9952913522720337
0.05,49,0.049999527633190155,0.10748474299907684,-1.3010340929031372,-0.9686532020568848
0.1,0,0.10000001639127731,0.18614506721496582,-0.9999999403953552,-0.7301484942436218
0.1,1,0.09999996423721313,0.07008612900972366,-1.0000001192092896,-1.1543679237365723
0.1,2,0.09999998658895493,0.2835918664932251,-1.0,-0.54730623960495
0.1,3,0.10000002384185791,0.1269419640302658,-0.9999998807907104,-0.8963947892189026
0.1,4,0.09999987483024597,0.029218211770057678,-1.0000005960464478,-1.534346342086792
0.1,5,0.09999935328960419,0.02733664959669113,-1.0000028610229492,-1.563254714012146
0.1,6,0.09998578578233719,0.11452633142471313,-1.0000617504119873,-0.9410946369171143
