classifier,arch_type,attack,label,cpop,fs,lid,lid_ext,maha,kd
resnet50,CNN,FGSM,1,-0.018965572118759155,0.33409368991851807,73.50498962402344,73.50498962402344,22.717418670654297,1.0228538513183594
resnet50,CNN,FGSM,0,-0.07473474740982056,0.38782745599746704,90.60722351074219,90.60722351074219,17.38050079345703,0.7479286193847656
resnet50,CNN,FGSM,1,-0.02694009244441986,0.40697771310806274,70.4198989868164,70.4198989868164,15.632749557495117,0.6790776252746582
resnet50,CNN,FGSM,0,-0.06068379431962967,0.8115999698638916,68.90013122558594,68.90013122558594,15.718707084655762,0.6916208267211914
resnet50,CNN,FGSM,1,-0.02313072234392166,0.6827613115310669,97.93475341796875,97.93475341796875,12.243489265441895,0.5433483123779297
resnet50,CNN,FGSM,0,-0.12580785155296326,0.40066176652908325,18.06743049621582,18.06743049621582,16.816848754882812,0.4501357078552246
resnet50,CNN,FGSM,1,-0.03257467597723007,0.3111765384674072,37.70302963256836,37.70302963256836,13.070035934448242,0.43673086166381836
resnet50,CNN,FGSM,0,-0.07282624393701553,0.08404214680194855,53.6558723449707,53.6558723449707,17.515493392944336,0.6796951293945312
resnet50,CNN,FGSM,1,-0.023634307086467743,0.5429195165634155,80.18206024169922,80.18206024169922,12.778136253356934,0.5684094429016113
resnet50,CNN,FGSM,0,-0.11368702352046967,0.4960397183895111,24.06365394592285,24.06365394592285,16.651317596435547,0.7602033615112305
resnet50,CNN,FGSM,1,-0.027067087590694427,0.3845432996749878,36.7177619934082,36.7177619934082,11.786683082580566,0.4838447570800781
resnet50,CNN,FGSM,0,-0.034855641424655914,0.1307080090045929,35.05952835083008,35.05952835083008,19.641130447387695,0.6727547645568848
resnet50,CNN,FGSM,1,-0.015777312219142914,0.8338720798492432,45.15299606323242,45.15299606323242,16.614011764526367,0.6584897041320801
resnet50,CNN,FGSM,0,-0.11026165634393692,0.2172347754240036,55.90446472167969,55.90446472167969,16.608274459838867,0.6313748359680176
resnet50,CNN,FGSM,1,-0.02889689803123474,0.2417253702878952,54.56793212890625,54.56793212890625,12.531907081604004,0.4450249671936035
resnet50,CNN,FGSM,0,-0.06513149291276932,0.15002024173736572,72.3935317993164,72.3935317993164,14.349574089050293,0.6785359382629395
resnet50,CNN,FGSM,1,-0.02389586716890335,0.7683316469192505,74.36341857910156,74.36341857910156,12.204294204711914,0.5491580963134766
resnet50,CNN,FGSM,0,-0.13037791848182678,0.580494225025177,62.447471618652344,62.447471618652344,15.607649803161621,0.6651878356933594
resnet50,CNN,FGSM,1,-0.028151459991931915,0.3928350806236267,60.859222412109375,60.859222412109375,15.45981502532959,0.636469841003418
resnet50,CNN,FGSM,0,-0.04237276315689087,0.489814817905426,29.83661460876465,29.83661460876465,22.552650451660156,0.8623971939086914
resnet50,CNN,FGSM,1,-0.02121763676404953,0.6305246353149414,31.20061492919922,31.20061492919922,16.166746139526367,0.5975265502929688
resnet50,CNN,FGSM,0,-0.3764379620552063,0.544308066368103,68.71623992919922,68.71623992919922,12.409472465515137,0.4969167709350586
resnet50,CNN,FGSM,1,-0.08637195080518723,0.7230741381645203,61.741851806640625,61.741851806640625,10.476099967956543,0.42819690704345703
resnet50,CNN,FGSM,0,-0.12231992930173874,0.2833103537559509,63.35638427734375,63.35638427734375,15.606410026550293,0.5288286209106445
resnet50,CNN,FGSM,1,-0.04147455841302872,0.3766583800315857,64.34806060791016,64.34806060791016,13.837830543518066,0.5629096031188965
resnet50,CNN,FGSM,0,-0.40839236974716187,0.740800142288208,28.802047729492188,28.802047729492188,14.090085983276367,0.4491610527038574
resnet50,CNN,FGSM,1,-0.03247877210378647,0.42059290409088135,46.504783630371094,46.504783630371094,11.732263565063477,0.44821596145629883
resnet50,CNN,FGSM,0,-0.020995885133743286,0.4625226557254791,21.84147834777832,21.84147834777832,16.256193161010742,0.45026445388793945
