classifier,metric,label,score
resnet50,score_norm,1,284.5907897949219
resnet50,cpop,0,0.1890188455581665
resnet50,cpop,1,0.04377017170190811
resnet50,raw_var,0,751340544.0
resnet50,raw_var,1,299737088.0
resnet50,score_norm,0,201.67779541015625
resnet50,score_norm,1,291.2163391113281
resnet50,cpop,0,0.15441447496414185
resnet50,cpop,1,0.04137488454580307
resnet50,raw_var,0,1029279360.0
resnet50,raw_var,1,335275488.0
resnet50,score_norm,0,273.2149963378906
resnet50,score_norm,1,318.0218200683594
resnet50,cpop,0,0.07300113141536713
resnet50,cpop,1,0.0342971608042717
resnet50,raw_var,0,231203328.0
resnet50,raw_var,1,135377216.0
resnet50,score_norm,0,193.96177673339844
resnet50,score_norm,1,221.56271362304688
resnet50,cpop,0,0.08065619319677353
resnet50,cpop,1,0.03566838800907135
resnet50,raw_var,0,479474080.0
resnet50,raw_var,1,218860576.0
resnet50,score_norm,0,268.0269775390625
resnet50,score_norm,1,277.42919921875
resnet50,cpop,0,0.08074195683002472
resnet50,cpop,1,0.04789203405380249
resnet50,raw_var,0,320911808.0
resnet50,raw_var,1,215225616.0
resnet50,score_norm,0,216.0336456298828
resnet50,score_norm,1,234.03269958496094
resnet50,cpop,0,0.08475586771965027
resnet50,cpop,1,0.03921885043382645
resnet50,raw_var,0,473287328.0
resnet50,raw_var,1,251160288.0
resnet50,score_norm,0,257.72381591796875
resnet50,score_norm,1,282.13555908203125
resnet50,cpop,0,0.03584475815296173
resnet50,cpop,1,0.02211602032184601
resnet50,raw_var,0,231997568.0
resnet50,raw_var,1,117039680.0
resnet50,score_norm,0,284.787353515625
resnet50,score_norm,1,258.1366271972656
resnet50,cpop,0,0.10274432599544525
resnet50,cpop,1,0.03745941072702408
resnet50,raw_var,0,518978496.0
resnet50,raw_var,1,227850304.0
resnet50,score_norm,0,243.52215576171875
resnet50,score_norm,1,275.5837097167969
resnet50,cpop,0,0.1946777105331421
resnet50,cpop,1,0.04320451617240906
resnet50,raw_var,0,953523136.0
resnet50,raw_var,1,320753472.0
resnet50,score_norm,0,223.3948974609375
resnet50,score_norm,1,303.4708557128906
resnet50,cpop,0,0.08059559762477875
resnet50,cpop,1,0.03537919372320175
resnet50,raw_var,0,328928512.0
resnet50,raw_var,1,173584864.0
resnet50,score_norm,0,219.84353637695312
resnet50,score_norm,1,247.22352600097656
resnet50,cpop,0,0.16317878663539886
resnet50,cpop,1,0.042082756757736206
resnet50,raw_var,0,737245824.0
resnet50,raw_var,1,285375840.0
resnet50,score_norm,0,219.06195068359375
resnet50,score_norm,1,289.8939514160156
resnet50,cpop,0,0.22093643248081207
resnet50,cpop,1,0.04522082954645157
resnet50,raw_var,0,1204676736.0
resnet50,raw_var,1,378863008.0
resnet50,score_norm,0,234.30233764648438
resnet50,score_norm,1,322.9043884277344
resnet50,cpop,0,0.1393490433692932
resnet50,cpop,1,0.04339199513196945
resnet50,raw_var,0,892233472.0
resnet50,raw_var,1,351408736.0
resnet50,score_norm,0,270.0478515625
resnet50,score_norm,1,317.6785583496094
resnet50,cpop,0,0.12796875834465027
resnet50,cpop,1,0.04077666252851486
resnet50,raw_var,0,554909120.0
resnet50,raw_var,1,252094128.0
resnet50,score_norm,0,220.15127563476562
resnet50,score_norm,1,276.8021240234375
resnet50,cpop,0,0.258536696434021
resnet50,cpop,1,0.04474290460348129
resnet50,raw_var,0,1275738880.0
resnet50,raw_var,1,373359072.0
resnet50,score_norm,0,214.72547912597656
resnet50,score_norm,1,322.3403015136719
resnet50,cpop,0,0.10993513464927673
resnet50,cpop,1,0.04483320564031601
resnet50,raw_var,0,457144096.0
resnet50,raw_var,1,251123856.0
resnet50,score_norm,0,216.368896484375
resnet50,score_norm,1,262.1257629394531
resnet50,cpop,0,0.17770545184612274
resnet50,cpop,1,0.04711633920669556
resnet50,raw_var,0,848750528.0
resnet50,raw_var,1,337481600.0
resnet50,score_norm,0,225.41050720214844
resnet50,score_norm,1,297.7466735839844
resnet50,cpop,0,0.08590734004974365
resnet50,cpop,1,0.03813547641038895
resnet50,raw_var,0,291184128.0
resnet50,raw_var,1,163747616.0
resnet50,score_norm,0,199.7872772216797
resnet50,score_norm,1,231.06056213378906
resnet50,cpop,0,0.029344849288463593
resnet50,cpop,1,0.01955939084291458
resnet50,raw_var,0,106041400.0
resnet50,raw_var,1,63910092.0
resnet50,score_norm,0,212.57330322265625
resnet50,score_norm,1,202.68756103515625
resnet50,cpop,0,0.20997928082942963
resnet50,cpop,1,0.058123305439949036
resnet50,raw_var,0,1026009088.0
resnet50,raw_var,1,442567424.0
resnet50,score_norm,0,221.00241088867188
resnet50,score_norm,1,305.0851745605469
resnet50,cpop,0,0.27634015679359436
resnet50,cpop,1,0.05118048936128616
resnet50,raw_var,0,1106595328.0
resnet50,raw_var,1,369809600.0
resnet50,score_norm,0,190.1761932373047
resnet50,score_norm,1,299.1228332519531
resnet50,cpop,0,0.1775714010000229
resnet50,cpop,1,0.04594360291957855
resnet50,raw_var,0,748478272.0
resnet50,raw_var,1,294663776.0
resnet50,score_norm,0,211.764404296875
resnet50,score_norm,1,282.0346984863281
resnet50,cpop,0,0.15698739886283875
resnet50,cpop,1,0.044873520731925964
resnet50,raw_var,0,1138713344.0
resnet50,raw_var,1,384559904.0
resnet50,score_norm,0,286.0946960449219
resnet50,score_norm,1,326.80096435546875
resnet50,cpop,0,0.07558678835630417
resnet50,cpop,1,0.0350458025932312
resnet50,raw_var,0,285931424.0
resnet50,raw_var,1,153721824.0
resnet50,score_norm,0,212.9319305419922
resnet50,score_norm,1,233.99879455566406
resnet50,cpop,0,0.12633618712425232
resnet50,cpop,1,0.04118805378675461
resnet50,raw_var,0,583737856.0
resnet50,raw_var,1,267010960.0
resnet50,score_norm,0,227.4670867919922
resnet50,score_norm,1,283.43743896484375
resnet50,cpop,0,0.011675670742988586
resnet50,cpop,1,0.00852145254611969
resnet50,raw_var,0,26458822.0
resnet50,raw_var,1,17214716.0
resnet50,score_norm,0,168.54620361328125
resnet50,score_norm,1,159.13739013671875
resnet50,cpop,0,0.07416731119155884
resnet50,cpop,1,0.03378273546695709
resnet50,raw_var,0,175661216.0
resnet50,raw_var,1,95016224.0
resnet50,score_norm,0,168.0252685546875
resnet50,score_norm,1,187.30128479003906
resnet50,cpop,0,0.035732805728912354
resnet50,cpop,1,0.022520869970321655
resnet50,raw_var,0,139545504.0
resnet50,raw_var,1,81357544.0
resnet50,score_norm,0,220.56060791015625
resnet50,score_norm,1,213.13735961914062
resnet50,cpop,0,0.040845274925231934
resnet50,cpop,1,0.024481788277626038
resnet50,raw_var,0,171768544.0
resnet50,raw_var,1,97385248.0
resnet50,score_norm,0,228.5087890625
resnet50,score_norm,1,223.6588897705078
resnet50,cpop,0,0.07479575276374817
resnet50,cpop,1,0.035050563514232635
resnet50,raw_var,0,456675392.0
resnet50,raw_var,1,228408112.0
resnet50,score_norm,0,270.7967834472656
resnet50,score_norm,1,284.8279113769531
resnet50,cpop,0,0.06083142012357712
resnet50,cpop,1,0.030445806682109833
resnet50,raw_var,0,307074176.0
resnet50,raw_var,1,160760272.0
resnet50,score_norm,0,247.5673370361328
resnet50,score_norm,1,257.2089538574219
resnet50,cpop,0,0.13299790024757385
resnet50,cpop,1,0.046329155564308167
resnet50,raw_var,0,734133056.0
resnet50,raw_var,1,337997088.0
resnet50,score_norm,0,249.22230529785156
resnet50,score_norm,1,300.8636474609375
resnet50,cpop,0,0.12591484189033508
resnet50,cpop,1,0.04256951063871384
resnet50,raw_var,0,766896896.0
resnet50,raw_var,1,318172480.0
resnet50,score_norm,0,264.9569091796875
resnet50,score_norm,1,305.39837646484375
resnet50,cpop,0,0.07307830452919006
resnet50,cpop,1,0.03280762583017349
resnet50,raw_var,0,270628032.0
resnet50,raw_var,1,144660640.0
resnet50,score_norm,0,209.75741577148438
resnet50,score_norm,1,234.14273071289062
resnet50,cpop,0,0.07366321980953217
resnet50,cpop,1,0.03380586951971054
resnet50,raw_var,0,289007104.0
resnet50,raw_var,1,160408544.0
resnet50,score_norm,0,215.96658325195312
resnet50,score_norm,1,243.2082061767578
resnet50,cpop,0,0.11380501836538315
resnet50,cpop,1,0.03897220641374588
resnet50,raw_var,0,545671552.0
resnet50,raw_var,1,237505920.0
resnet50,score_norm,0,234.5458526611328
resnet50,score_norm,1,275.4707336425781
resnet50,cpop,0,0.03506530076265335
resnet50,cpop,1,0.020785152912139893
resnet50,raw_var,0,49994696.0
resnet50,raw_var,1,32566346.0
resnet50,score_norm,0,132.13372802734375
resnet50,score_norm,1,139.83396911621094
resnet50,cpop,0,0.16011880338191986
resnet50,cpop,1,0.04369461536407471
resnet50,raw_var,0,793256320.0
resnet50,raw_var,1,305327936.0
resnet50,score_norm,0,233.4026336669922
resnet50,score_norm,1,294.8688659667969
resnet50,cpop,0,0.1099412739276886
resnet50,cpop,1,0.0409531369805336
resnet50,raw_var,0,545337792.0
resnet50,raw_var,1,252835136.0
resnet50,score_norm,0,240.29818725585938
resnet50,score_norm,1,277.3410949707031
resnet50,cpop,0,0.16282981634140015
resnet50,cpop,1,0.043981581926345825
resnet50,raw_var,0,721251136.0
resnet50,raw_var,1,288405536.0
resnet50,score_norm,0,219.0410614013672
resnet50,score_norm,1,285.2989807128906
resnet50,cpop,0,0.06519144028425217
resnet50,cpop,1,0.031022943556308746
resnet50,raw_var,0,307502624.0
resnet50,raw_var,1,159298656.0
resnet50,score_norm,0,238.8416290283203
resnet50,score_norm,1,253.2864532470703
resnet50,cpop,0,0.05051576346158981
resnet50,cpop,1,0.026492752134799957
resnet50,raw_var,0,275224256.0
resnet50,raw_var,1,134156072.0
resnet50,score_norm,0,259.37664794921875
resnet50,score_norm,1,252.47166442871094
resnet50,cpop,0,0.13013461232185364
resnet50,cpop,1,0.03985053300857544
resnet50,raw_var,0,655163712.0
resnet50,raw_var,1,260462320.0
resnet50,score_norm,0,238.15000915527344
resnet50,score_norm,1,285.3268737792969
resnet50,cpop,0,0.04240478575229645
resnet50,cpop,1,0.02638062834739685
resnet50,raw_var,0,138316224.0
resnet50,raw_var,1,90561848.0
resnet50,score_norm,0,200.3643798828125
resnet50,score_norm,1,207.17523193359375
resnet50,cpop,0,0.3766559958457947
resnet50,cpop,1,0.1021636575460434
resnet50,raw_var,0,1517801216.0
resnet50,raw_var,1,782480640.0
resnet50,score_norm,0,170.00685119628906
resnet50,score_norm,1,300.3442687988281
resnet50,cpop,0,0.12272434681653976
resnet50,cpop,1,0.05428243428468704
resnet50,raw_var,0,470003072.0
resnet50,raw_var,1,271872000.0
resnet50,score_norm,0,205.55819702148438
resnet50,score_norm,1,246.557861328125
resnet50,cpop,0,0.408191055059433
resnet50,cpop,1,0.04806988686323166
resnet50,raw_var,0,2210523136.0
resnet50,raw_var,1,457012192.0
resnet50,score_norm,0,198.0753936767578
resnet50,score_norm,1,344.17401123046875
resnet50,cpop,0,0.021016359329223633
resnet50,cpop,1,0.014766387641429901
resnet50,raw_var,0,57869808.0
resnet50,raw_var,1,35980172.0
resnet50,score_norm,0,185.9286651611328
resnet50,score_norm,1,174.9596710205078
resnet50,cpop,0,0.36519569158554077
resnet50,cpop,1,0.061861805617809296
resnet50,raw_var,0,1743969152.0
resnet50,raw_var,1,539424000.0
resnet50,score_norm,0,187.34535217285156
resnet50,score_norm,1,327.1632995605469
resnet50,cpop,0,0.10615687072277069
resnet50,cpop,1,0.039398401975631714
resnet50,raw_var,0,464632128.0
resnet50,raw_var,1,224100288.0
resnet50,score_norm,0,224.67330932617188
resnet50,score_norm,1,265.8015441894531
resnet50,cpop,0,0.18336932361125946
resnet50,cpop,1,0.06516238301992416
resnet50,raw_var,0,803818688.0
resnet50,raw_var,1,413020960.0
resnet50,score_norm,0,213.05709838867188
resnet50,score_norm,1,277.2016296386719
resnet50,cpop,0,0.17424234747886658
resnet50,cpop,1,0.0448063388466835
resnet50,raw_var,0,794150272.0
resnet50,raw_var,1,310415456.0
resnet50,score_norm,0,221.3169708251953
resnet50,score_norm,1,293.2105712890625
resnet50,cpop,0,0.24705396592617035
resnet50,cpop,1,0.04651840031147003
resnet50,raw_var,0,1094742528.0
resnet50,raw_var,1,346729888.0
resnet50,score_norm,0,206.48294067382812
resnet50,score_norm,1,304.700439453125
resnet50,cpop,0,0.11839553713798523
resnet50,cpop,1,0.03964368999004364
resnet50,raw_var,0,518024256.0
resnet50,raw_var,1,220028784.0
resnet50,score_norm,0,222.73757934570312
resnet50,score_norm,1,262.363525390625
resnet50,cpop,0,0.2548043429851532
resnet50,cpop,1,0.04621776193380356
resnet50,raw_var,0,1113286144.0
resnet50,raw_var,1,348245824.0
resnet50,score_norm,0,202.19595336914062
resnet50,score_norm,1,306.48382568359375
resnet50,cpop,0,0.1544840931892395
resnet50,cpop,1,0.04966387897729874
resnet50,raw_var,0,670476672.0
resnet50,raw_var,1,321149696.0
resnet50,score_norm,0,215.24676513671875
resnet50,score_norm,1,281.8994140625
resnet50,cpop,0,0.08031009137630463
resnet50,cpop,1,0.03710537403821945
resnet50,raw_var,0,337775168.0
resnet50,raw_var,1,182953216.0
resnet50,score_norm,0,223.95579528808594
resnet50,score_norm,1,247.97354125976562
resnet50,cpop,0,0.18235528469085693
resnet50,cpop,1,0.046511806547641754
resnet50,raw_var,0,774835392.0
resnet50,raw_var,1,314199264.0
resnet50,score_norm,0,209.97789001464844
resnet50,score_norm,1,289.20135498046875
resnet50,cpop,0,0.229023277759552
resnet50,cpop,1,0.054502278566360474
resnet50,raw_var,0,1087371392.0
resnet50,raw_var,1,430667808.0
resnet50,score_norm,0,214.8131561279297
resnet50,score_norm,1,311.640380859375
resnet50,cpop,0,0.026479758322238922
resnet50,cpop,1,0.018019072711467743
resnet50,raw_var,0,71172296.0
resnet50,raw_var,1,42981508.0
resnet50,score_norm,0,183.6229248046875
resnet50,score_norm,1,173.22018432617188
resnet50,cpop,0,0.4575739800930023
resnet50,cpop,1,0.047386251389980316
resnet50,raw_var,0,2218498560.0
resnet50,raw_var,1,453436096.0
resnet50,score_norm,0,172.8508758544922
resnet50,score_norm,1,345.057861328125
resnet50,cpop,0,0.0761585608124733
resnet50,cpop,1,0.04052223265171051
resnet50,raw_var,0,357778688.0
resnet50,raw_var,1,212353568.0
resnet50,score_norm,0,236.6744842529297
resnet50,score_norm,1,254.66795349121094
resnet50,cpop,0,0.11330537497997284
resnet50,cpop,1,0.03792718052864075
resnet50,raw_var,0,662101056.0
resnet50,raw_var,1,270009440.0
resnet50,score_norm,0,259.8381042480469
resnet50,score_norm,1,297.92236328125
resnet50,cpop,0,0.3030749261379242
resnet50,cpop,1,0.07725640386343002
resnet50,raw_var,0,1482606848.0
resnet50,raw_var,1,584399168.0
resnet50,score_norm,0,208.4835662841797
resnet50,score_norm,1,302.91375732421875
resnet50,cpop,0,0.049181342124938965
resnet50,cpop,1,0.026872269809246063
resnet50,raw_var,0,158469472.0
resnet50,raw_var,1,92272496.0
resnet50,score_norm,0,198.51145935058594
resnet50,score_norm,1,207.26156616210938
resnet50,cpop,0,0.2280290424823761
resnet50,cpop,1,0.04731297492980957
resnet50,raw_var,0,920988928.0
resnet50,raw_var,1,342173600.0
resnet50,score_norm,0,195.80384826660156
resnet50,score_norm,1,298.7620849609375
resnet50,cpop,0,0.6964406967163086
resnet50,cpop,1,0.048677898943424225
resnet50,raw_var,0,2065781376.0
resnet50,raw_var,1,387387136.0
resnet50,score_norm,0,78.28767395019531
resnet50,score_norm,1,314.40478515625
resnet50,cpop,0,0.09629563987255096
resnet50,cpop,1,0.04111073911190033
resnet50,raw_var,0,420685568.0
resnet50,raw_var,1,220459072.0
resnet50,score_norm,0,225.08961486816406
resnet50,score_norm,1,257.4626770019531
resnet50,cpop,0,0.056375905871391296
resnet50,cpop,1,0.02942836284637451
resnet50,raw_var,0,358616288.0
resnet50,raw_var,1,176293712.0
resnet50,score_norm,0,280.09521484375
resnet50,score_norm,1,274.3959045410156
resnet50,cpop,0,0.057602278888225555
resnet50,cpop,1,0.03014557808637619
resnet50,raw_var,0,243381728.0
resnet50,raw_var,1,134700736.0
resnet50,score_norm,0,227.04759216308594
resnet50,score_norm,1,236.5889892578125
resnet50,cpop,0,0.11495157331228256
resnet50,cpop,1,0.04166270047426224
resnet50,raw_var,0,458071008.0
resnet50,raw_var,1,230804592.0
resnet50,score_norm,0,212.24986267089844
resnet50,score_norm,1,261.7196960449219
resnet50,cpop,0,0.21072018146514893
resnet50,cpop,1,0.04509737342596054
resnet50,raw_var,0,1126400256.0
resnet50,raw_var,1,362553984.0
resnet50,score_norm,0,233.56695556640625
resnet50,score_norm,1,315.75360107421875
resnet50,cpop,0,0.33927324414253235
resnet50,cpop,1,0.049290962517261505
resnet50,raw_var,0,1450932864.0
resnet50,raw_var,1,355240736.0
resnet50,score_norm,0,184.9905548095703
resnet50,score_norm,1,299.8522033691406
resnet50,cpop,0,0.2617233395576477
resnet50,cpop,1,0.044326260685920715
