classifier,arch_type,eps255,sid,label,cpop,fs,lid,lid_ext,fs_bit1,fs_bit2,fs_bit3,fs_bit5,fs_median3,fs_median5,fs_avgpool3
resnet50,CNN,2,10,0,-0.011687934398651123,0.12835317850112915,33.41746139526367,33.41746139526367,0.23763179779052734,0.20964351296424866,0.12835317850112915,0.007381649687886238,0.06845729053020477,0.2845670282840729,0.030787717550992966
resnet50,CNN,2,10,1,-0.011312171816825867,0.6603525876998901,50.16591262817383,50.16591262817383,0.9461126923561096,0.8741661310195923,0.47299590706825256,0.03722037374973297,0.6256284117698669,0.6308871507644653,0.6603525876998901
resnet50,CNN,2,11,0,-0.12400209158658981,0.12679645419120789,75.80131530761719,75.80131530761719,0.12960052490234375,0.3702446520328522,0.12679645419120789,0.023683222010731697,0.23411321640014648,0.3949889540672302,0.02485830895602703
resnet50,CNN,2,11,1,-0.08403436839580536,0.7184431552886963,48.446258544921875,48.446258544921875,0.9582916498184204,0.7188145518302917,0.6444956064224243,0.0941055417060852,0.542915940284729,0.6692421436309814,0.7184431552886963
resnet50,CNN,2,12,0,-0.18518245220184326,0.22598305344581604,13.82309627532959,13.82309627532959,0.2915370464324951,0.0662381500005722,0.10480956733226776,0.06959882378578186,0.06877347081899643,0.08955402672290802,0.22598305344581604
resnet50,CNN,2,12,1,-0.10247060656547546,1.4565373659133911,38.942203521728516,38.942203521728516,1.853344440460205,1.7942116260528564,1.3240272998809814,0.33822083473205566,1.3745176792144775,1.673984408378601,1.4565373659133911
resnet50,CNN,2,13,0,-0.15408840775489807,0.18595705926418304,23.790571212768555,23.790571212768555,0.5109846591949463,0.12958045303821564,0.09752839058637619,0.04180213063955307,0.10843728482723236,0.22001227736473083,0.18595705926418304
resnet50,CNN,2,13,1,-0.09385667741298676,0.5664069056510925,15.782747268676758,15.782747268676758,0.9060541987419128,0.7051498889923096,0.5391708612442017,0.1922474354505539,0.3766089379787445,0.628990888595581,0.5664069056510925
resnet50,CNN,2,14,0,-0.24636125564575195,0.28797876834869385,24.865249633789062,24.865249633789062,0.42382577061653137,0.4040559232234955,0.28797876834869385,0.053594887256622314,0.10972590744495392,0.25824111700057983,0.20475924015045166
resnet50,CNN,2,14,1,-0.10911139845848083,0.5887117385864258,21.77766990661621,21.77766990661621,1.1871769428253174,1.1799182891845703,0.5887117385864258,0.10203491896390915,0.3634326457977295,0.5919516086578369,0.4541754126548767
resnet50,CNN,2,15,0,-0.08453015238046646,0.14722669124603271,18.78240394592285,18.78240394592285,0.3531281352043152,0.06730566918849945,0.14722669124603271,0.050311289727687836,0.5149071216583252,0.5665094256401062,0.11715112626552582
resnet50,CNN,2,15,1,-0.0626164898276329,0.7783271074295044,25.87117576599121,25.87117576599121,1.2691062688827515,1.0171233415603638,0.7783271074295044,0.0508265383541584,1.1102244853973389,1.6571885347366333,0.5582680702209473
resnet50,CNN,2,16,0,-0.027357570827007294,0.3163379430770874,80.65935516357422,80.65935516357422,1.3891863822937012,0.4858408570289612,0.30486464500427246,0.03676912188529968,0.41096049547195435,0.6500319838523865,0.3163379430770874
resnet50,CNN,2,16,1,-0.024478226900100708,1.230576753616333,73.68256378173828,73.68256378173828,1.9944071769714355,1.53938889503479,1.0901150703430176,0.0006433905218727887,1.5750091075897217,1.879179835319519,1.230576753616333
resnet50,CNN,2,17,0,-0.1150084063410759,0.554110050201416,27.999391555786133,27.999391555786133,0.3403487503528595,0.08299796283245087,0.2074989676475525,0.07520696520805359,0.724313497543335,0.7457194328308105,0.554110050201416
resnet50,CNN,2,17,1,-0.07905604690313339,1.9516863822937012,66.44380950927734,66.44380950927734,1.9531058073043823,1.9548091888427734,1.9513986110687256,1.7327384948730469,1.8877017498016357,1.954608678817749,1.9516863822937012
resnet50,CNN,2,18,0,-0.21399934589862823,0.4695775806903839,49.3785400390625,49.3785400390625,1.109953761100769,0.5863038897514343,0.4695775806903839,0.15803009271621704,0.05850061774253845,0.17762373387813568,0.13735264539718628
resnet50,CNN,2,18,1,-0.10524176806211472,1.8014235496520996,57.59260177612305,57.59260177612305,1.91798996925354,1.9144796133041382,1.8014235496520996,0.06834667921066284,1.0846672058105469,1.869032621383667,1.7654058933258057
resnet50,CNN,2,19,0,-0.12605619430541992,0.0771227478981018,26.536672592163086,26.536672592163086,0.3562508225440979,0.0928073525428772,0.0771227478981018,0.08297469466924667,0.07862137258052826,0.3179636597633362,0.04749899357557297
resnet50,CNN,2,19,1,-0.08191708475351334,0.9469918608665466,38.76143264770508,38.76143264770508,1.7351182699203491,1.272330403327942,0.9469918608665466,0.4141162633895874,0.5474660396575928,1.235934853553772,0.9407191276550293
resnet50,CNN,2,20,0,-0.052206315100193024,0.9109655022621155,38.65132522583008,38.65132522583008,0.6320069432258606,0.2964198589324951,0.1507142037153244,0.020358193665742874,1.1323996782302856,1.3530986309051514,0.9109655022621155
resnet50,CNN,2,20,1,-0.043720148503780365,1.838709831237793,33.41496276855469,33.41496276855469,1.9842952489852905,1.983940601348877,1.838709831237793,0.015012508258223534,1.6389787197113037,1.9330098628997803,1.3695147037506104
resnet50,CNN,2,21,0,-0.15983715653419495,0.7226220369338989,43.60475540161133,43.60475540161133,1.0352588891983032,0.7679506540298462,0.4697415828704834,0.13921011984348297,0.5644950866699219,0.7392026782035828,0.7226220369338989
