detector,source,target,realized_fpr,tpr,self
fs_bit2,maxvit_t,vit_b_16,0.12333333333333334,0.6933333333333334,False
fs_bit2,mobilenet_v3_large,convnext_tiny,0.03666666666666667,0.8633333333333333,False
fs_bit2,mobilenet_v3_large,densenet121,0.31,0.7466666666666667,False
fs_bit2,mobilenet_v3_large,maxvit_t,0.05333333333333334,0.9133333333333333,False
fs_bit2,mobilenet_v3_large,mobilenet_v3_large,0.05,0.8566666666666667,True
fs_bit2,mobilenet_v3_large,resnet50,0.0033333333333333335,0.8066666666666666,False
fs_bit2,mobilenet_v3_large,swin_t,0.05,0.8533333333333334,False
fs_bit2,mobilenet_v3_large,vgg16,0.6233333333333333,0.82,False
fs_bit2,mobilenet_v3_large,vit_b_16,0.12666666666666668,0.6933333333333334,False
fs_bit2,resnet50,convnext_tiny,0.14,0.9466666666666667,False
fs_bit2,resnet50,densenet121,0.4766666666666667,0.8433333333333334,False
fs_bit2,resnet50,maxvit_t,0.14,0.96,False
fs_bit2,resnet50,mobilenet_v3_large,0.21333333333333335,0.9333333333333333,False
fs_bit2,resnet50,resnet50,0.05,0.9466666666666667,True
fs_bit2,resnet50,swin_t,0.17666666666666667,0.9033333333333333,False
fs_bit2,resnet50,vgg16,0.7233333333333334,0.8933333333333333,False
fs_bit2,resnet50,vit_b_16,0.2833333333333333,0.81,False
fs_bit2,swin_t,convnext_tiny,0.03666666666666667,0.8633333333333333,False
fs_bit2,swin_t,densenet121,0.31,0.7466666666666667,False
fs_bit2,swin_t,maxvit_t,0.05333333333333334,0.9133333333333333,False
fs_bit2,swin_t,mobilenet_v3_large,0.05,0.8566666666666667,False
fs_bit2,swin_t,resnet50,0.0033333333333333335,0.8033333333333333,False
fs_bit2,swin_t,swin_t,0.05,0.8533333333333334,True
fs_bit2,swin_t,vgg16,0.6233333333333333,0.82,False
fs_bit2,swin_t,vit_b_16,0.12666666666666668,0.6933333333333334,False
fs_bit2,vgg16,convnext_tiny,0.0,0.08666666666666667,False
fs_bit2,vgg16,densenet121,0.0033333333333333335,0.15,False
fs_bit2,vgg16,maxvit_t,0.0,0.0,False
fs_bit2,vgg16,mobilenet_v3_large,0.0,0.08666666666666667,False
fs_bit2,vgg16,resnet50,0.0,0.08333333333333333,False
fs_bit2,vgg16,swin_t,0.0,0.23333333333333334,False
fs_bit2,vgg16,vgg16,0.05,0.3333333333333333,True
fs_bit2,vgg16,vit_b_16,0.0,0.0033333333333333335,False
fs_bit2,vit_b_16,convnext_tiny,0.0033333333333333335,0.7133333333333334,False
fs_bit2,vit_b_16,densenet121,0.2,0.6366666666666667,False
fs_bit2,vit_b_16,maxvit_t,0.013333333333333334,0.8533333333333334,False
fs_bit2,vit_b_16,mobilenet_v3_large,0.0033333333333333335,0.7566666666666667,False
